knowledge_point_type,question,answer,difficulty,bloom_level
数据结构基本概念和术语,"数据结构被形式地定义为 (D,R), 其中 D 是____的有限集合，R 是 D 上的____有限集合。",数据元素；关系,2,a
数据结构三要素,数据结构包括数据的____、数据的____和数据的____这三个方面的内容。,逻辑结构；存储结构；运算,2,a
数据结构基本概念和术语,数据结构按逻辑结构可分为两大类，它们分别是____和____。,线性结构；非线性结构,2,a
数据结构基本概念和术语,线性结构中元素之间存在____关系，树形结构中元素之间存在____关系，图形结构中元素之间存在____关系。,一对一；一对多；多对多,2,a
数据结构基本概念和术语,在线性结构中，第一个结点没有前驱结点，其余每个结点有且只有____个前驱结点；最后一个结点没有后续结点，其余每个结点有且只有____个后续结点。,1；1,2,a
数据结构基本概念和术语,在树形结构中，树根结点没有____结点，其余每个结点有且只有____个前驱结点；叶子结点没有后续结点，其余每个结点的后续结点数可以任意多个。,前驱；1,2,a
数据结构基本概念和术语,在图形结构中，每个结点的前驱结点数和后续结点数可以____。,任意多个,2,a
数据结构三要素, 数据的存储结构可用四种基本的存储方法表示，它们分别是____、、、。,顺序、链式、索引、散列,2,a
数据结构三要素, 数据的运算最常用的有 5 种，它们分别是、、、、。,插入、删除、修改、查找、排序,2,a
算法效率的度量,一个算法的效率可分为____效率和____效率。,时间；空间,2,a
线性表的定义,程序段i=1;while (i<=n) i=i*2的时间复杂度为____。,O (log₂n),3,b
二叉树的性质,数据结构的四种基本类型中，树形结构的元素是____关系。,一对多,2,a
顺序表的定义,在顺序表中插入或删除一个元素，需要平均移动表中____元素，具体移动的元素个数与____和该元素在表中的____有关。,一半；表长；位置,3,b
线性表的定义,线性表中结点的集合是____的，结点间的关系是____的。,有限；一对一,2,a
顺序表的定义,向一个长度为 n 的向量的第 i 个元素 (1≤i≤n+1) 之前插入一个元素时，需向后移动____个元素。,n-i+1,3,b
顺序表的定义,向一个长度为 n 的向量中删除第 i 个元素 (1≤i≤n) 时，需向前移动____个元素。,n-i,3,b
顺序表的定义,"在顺序表中访问任意一结点的时间复杂度均为____, 因此，顺序表也称为____的的数据结构。",O (1)；随机存取,2,a
顺序表和链表的比较,顺序表中逻辑上相邻的元素的物理位置____相邻。单链表中逻辑上相邻的元素的物理位置____相邻。,必定；不一定,2,a
单链表上基本操作的实现,在单链表中，除了首元结点外，任一结点的存储位置由____指示。,其直接前驱结点的链域的值,3,b
单链表上基本操作的实现,"在 n 个结点的单链表中要删除已知结点 p, 需找到它的____的地址，其时间复杂度为____。",前驱结点；O (n),3,b
队列的顺序存储结构,"设循环队列的容量为 M, 其队头和队尾指针分别为 front 和 rear, 则循环队列中元素的个数为____。",(rear - front + M) % M,3,b
队列的顺序存储结构,在具有 n 个元素的循环队列中，队满时具有____个元素。,n-1,3,b
队列的顺序存储结构,"设循环队列的容量为 70, 现经过一系列的入队和出队操作后，front 为 20,rear 为 11, 则队列中元素的个数为____。",61,4,c
队列的顺序存储结构,"已知循环队列的存储空间大小为 20, 且当前队列的头指针和尾指针的值分别为 8 和 3, 则该队列的当前的长度为____。",15,4,c
二叉树的性质,具有 n 个结点的完全二叉树的深度是____。,⌊log₂n⌋ + 1,3,b
哈夫曼树和哈夫曼编码,哈夫曼树是其树的带权路径长度____的二叉树。,最小,2,a
二叉树的性质," 在一棵二叉树中，度为 0 的结点的个数是 n0, 度为 2 的结点的个数为 n2, 则有 n0=。",n2 + 1,3,b
树的基本术语,树内各结点度的____称为树的度。,最大值,2,a
图的遍历与图的连通性,n 个顶点的连通图至少有____边。,n-1 条,2,a
图的遍历与图的连通性,一个连通图的生成树是一个____它包含图中所有顶点，但只有足以构成一棵树的 n-1 条边。,极小连通子图,2,a
图的存储结构,一个图的____表示法是惟一的。,邻接矩阵,2,a
图的遍历,遍历图的基本方法有深度优先搜索和广度优先搜索，其中____是一个递归过程。,深度优先搜索,2,a
图的存储结构," 在无向图 G 的邻接矩阵 A 中，若 A [i][j] 等于 1, 则 A [j][i] 等于。",1,2,a
图的遍历与图的连通性,判定一个有向图是否存在回路，可以利用____。,拓扑排序,3,b
图的存储结构,已知一个图的邻接矩阵表示，计算第 i 个结点的入度的方法是____。,计算第 i 列非零元素的个数,3,b
图的存储结构,n 个顶点的无向图最多有____边。,n (n-1)/2,2,a
图的存储结构,已知一个图的邻接矩阵表示，删除所有从第 i 个结点出发的边的方法是____。,将邻接矩阵的第 i 行元素全部置为 0,3,b
图的存储结构,若以邻接矩阵表示有向图，则邻接矩阵上第 i 行中非零元素的个数即为顶点 vi 的____。,出度,2,a
散列表的基本概念,在散列存储中，装填因子 α 的值越大，则存取元素时发生冲突的可能性就越____;α 值越小，则存取元素发生冲突的可能性就越____。,大；小,3,b
串的模式匹配算法 ——KMP 算法,求子串在主串中首次出现的位置的运算称为____。,模式匹配,2,a
串的定义,"设 s=TAMA-TEACHER, 其长度是____。",10,2,a
串的定义,两个串相等的充分必要条件是两个串的____相等且____对应位置字符相同。,长度；对应位置字符,2,a
特殊矩阵的压缩存储,"已知二维数组 A [m][n] 可采用行序为主方式存储，每个元素占 k 个存储单元，并且第一个元素的存储地址是 LOC (A [0][0]), 则 A [i][j] 的地址是____。",LOC (A [0][0]) + (i×n + j)×k,4,c
广义表,"广义表运算式 HEAD (TAIL ((a,b),(x,y,z))) 的结果是____。","(x,y,z)",4,c
数组的存储结构,二维数组，可以按照____和____两种不同的存储方式。,行优先；列优先,2,a
稀疏矩阵, 稀疏矩阵的压缩存储方式有:和。,三元组表；十字链表,2,a
二叉树的遍历,中序遍历一棵二叉排序树的结点，可得到排好序的结点序列，这种说法（）。,正确,2,a
二叉树的存储结构,完全二叉树某结点有右子树，则必然有左子树，这种说法（）。,正确,2,a
哈夫曼树和哈夫曼编码,"用 5 个权值 {3,2,4,5,1} 构造的哈夫曼树的带权路径长度是____。",33,4,c
图的遍历与图的连通性,从源点到终点的最短路径是唯一的，这种说法（）。,错误,3,b
排序的定义,快速排序在所有排序方法中最快，而且所需附加空间也最少，这种说法（）。,错误,3,b
直接插入排序,直接插入排序是不稳定的排序方法，这种说法（）。,错误,2,a
选择排序,选择排序是一种不稳定的排序方法，这种说法（）。,正确,2,a
散列表处理冲突的方法,解决哈希冲突的主要方法有线性探测法、再哈希法、链地址法，这种说法（）。,正确,2,a
折半查找,对线性表进行折半查找时，要求线性表必须以顺序方式存储且结点按关键字有序排序，这种说法（）。,正确,2,a
二叉排序树 (BST),二叉排序树的任意一棵子树中，关键字最小的结点必无左孩子，关键字最大的结点必无右孩子，这种说法（）。,正确,3,b
图的存储结构,无向图的邻接矩阵一定是对称矩阵，这种说法（）。,正确,2,a
队列的基本概念,队列是一种插入与删除操作分别在表的两端进行的线性表，是一种先进后出型结构，这种说法（）。,错误,2,a
栈的基本概念,栈是一种对所有插入、删除操作限于在表的一端进行的线性表，是一种后进先出型结构，这种说法（）。,正确,2,a
二叉树的性质,深度为 k 的二叉树至多有____个结点。,2^k - 1,2,a
完全二叉树,用顺序存储的方法，将完全二叉树中所有结点按层逐个从左到右的顺序存放在一维数组 R [1..N] 中，若结点 R [i] 有右孩子，则其右孩子是____。,R [2i+1],3,b
二叉树的遍历,"设 a,b 为一棵二叉树上的两个结点，在中序遍历时，a 在 b 前面的条件是 a 在 b 的左方，这种说法（）。",正确,3,b
二叉树的遍历,"设一棵二叉树的中序遍历序列:badce, 后序遍历序列:bdeca, 则二叉树先序遍历序列为____。",abcde,4,c
完全二叉树,在一棵具有 5 层的满二叉树中结点总数为____。,31,3,b
二叉树的构造,由二叉树的前序和后序遍历序列不能惟一确定这棵二叉树，这种说法（）。,正确,3,b
二叉树的性质,"某二叉树的中序序列为 ABCDEFG, 后序序列为 BDCAFGE, 则其左子树中结点数目为____。",4,4,c
哈夫曼树和哈夫曼编码,"若以 (4,5,6,7,8) 作为权值构造哈夫曼树，则该树的带权路径长度为____。",69,4,c
完全二叉树,"将一棵有 100 个结点的完全二叉树从根这一层开始，每一层上从左到右依次对结点进行编号，根结点的编号为 1, 则编号为 49 的结点的左孩子编号为____。",98,4,c
图的遍历,图的深度优先遍历序列和广度优先遍历序列不是惟一的，这种说法（）。,正确,2,a
图的存储结构,邻接表只能用于存储有向图，而邻接矩阵则可存储有向图和无向图，这种说法（）。,错误,2,a
图的遍历与图的连通性,任何一个无向连通图的最小生成树只有一棵，这种说法（）。,错误,3,b
拓扑排序,任一个有向图的拓扑序列有一个或多个，这种说法（）。,正确,3,b
图的基本操作,在一个有向图中，所有顶点的入度之和等于所有顶点的出度之和的____倍。,1,2,a
哈希查找及性能分析,在散列查找中，平均查找长度主要与____有关。,装填因子,2,a
二叉排序树 (BST),对一棵二叉排序树按____遍历，可得到结点值从小到大的排列序列。,中序,2,a
排序的稳定性,快速排序是一种稳定的排序方法，这种说法（）。,错误,2,a
归并排序,归并排序是一种稳定的排序方法，这种说法（）。,正确,2,a
希尔排序,希尔排序的增量序列必须是递减的，这种说法（）。,正确,2,a
算法的基本概念, 计算机中的算法指的是解决某一个问题的有限运算序列，它必须具备输入、输出、等 5 个特性。,确定性、有穷性、可行性,2,a
栈的基本概念, 栈是一种特殊的线性表，允许插入和删除运算的一端称为。不允许插入和删除运算的一端称为____。,栈顶；栈底,2,a
队列的基本概念,队列是被限定为只能在表的一端进行插入运算，在表的另一端进行删除运算的线性表，这两端分别称为____和____。,队尾；队首,2,a
循环队列,判断一个循环队列 Q (最多 n 个元素) 为满的条件是____。,Q->front == (Q->rear + 1) % n,3,b
栈的应用,设计一个判别表达式中括号是否配对的算法，采用____数据结构最佳。,栈,2,a
串的模式匹配算法 ——KMP 算法,"已知串 S=aaab, 则 next 数组值为____。",0123,3,b
串的定义,空串和空格串____(相同 / 不相同)。,不相同,2,a
数组的存储结构,"数组 A [0..5,0..6] 的每个元素占 5 个字节，将其按列优先次序存储在起始地址为 1000 的内存单元中，则元素 A [5][5] 的地址是____。",1175,4,c
广义表,"设广义表 L=((a,b,c)), 则 L 的长度和深度分别为____。",1 和 2,3,b
稀疏矩阵,稀疏矩阵的常见压缩存储方法有____和____两种。,三元组；十字链表,2,a
二叉树的性质,"假定在一棵二叉树中，度为 2 的结点数为 15, 度为 1 的结点数为 30, 则叶子结点数为____个。",16,3,b
完全二叉树,完全二叉树的某结点若无左孩子，则它必是____结点。,叶子,2,a
图的存储结构,具有 n 个顶点的图，若采用邻接矩阵表示，则该矩阵的大小为____。,n×n,2,a
图的遍历与图的连通性,如果从无向图的任一顶点出发进行一次深度优先搜索即可访问所有顶点，则该图一定是____图。,连通,2,a
拓扑排序,关键路径是事件结点网络中从源点到汇点的____路径。,最长,2,a
图的遍历,采用邻接表存储的图，其深度优先遍历类似于二叉树的____遍历。,先序,2,a
折半查找,"已知一个有序表为 (11,22,33,44,55,66,77,88,99), 则折半查找 55 需要比较____次。",1,3,b
散列表处理冲突的方法, 解决哈希冲突的主要方法有线性探测法、再哈希法、。,链地址法,2,a
二叉排序树 (BST),在二叉排序树中，左子树中所有结点的值____根结点的值，右子树中所有结点的值____根结点的值。,小于；大于,2,a
直接插入排序, 直接插入排序在初始数据基本正序时的时间复杂度为。,O (n),3,b
快速排序,快速排序在初始数据基本反序时的时间复杂度为____。,O (n²),3,b
算法效率的度量,算法分析的两个主要方面是____和____。,空间复杂度；时间复杂度,2,a
线性表的定义, 具有线性结构的数据结构是____、、。,线性表、栈、队列,2,a
算法的基本概念,算法是____的有限运算序列。,解决问题,2,a
时间复杂度计算,程序段for (i=0;i<m;i++) for (j=0;j<n;j++) a [i][j]=i*j;的时间复杂度是____。,O (m*n),3,b
数据结构基本概念,数据结构是一门研究非数值计算的程序设计问题中计算机的数据元素以及它们之间的____和运算等的学科。,关系,2,a
抽象数据类型, 抽象数据类型的三个组成部分分别为____、****和****。,数据对象、数据关系、基本操作,2,a
线性表的存储结构,线性表的顺序存储结构是一种____存储结构，链表是一种____存储结构。,随机存取；链式,2,a
单链表的定义,不带头结点的单链表 head 为空的判定条件是____。,head == NULL,2,a
循环链表,非空的循环单链表 head 的尾结点 p 满足____。,p->next == head,2,a
双链表,在双向循环链表中，在 p 指针所指的结点后插入一个指针 q 所指向的新结点，修改指针的操作是____。,q->prior = p; q->next = p->next; p->next->prior = q; p->next = q;,4,c
