knowledge_point_type,question,option_A,option_B,option_C,option_D,answer,difficulty,bloom_level
数据结构基本概念和术语,研究数据结构就是研究 ()。,数据的逻辑结构,数据的存储结构,数据的逻辑结构和存储结构,数据的逻辑结构、存储结构及其基本操作,D,3,a
算法效率的度量,算法分析的两个主要方面是 ()。,空间复杂度和时间复杂度,正确性和简单性,可读性和文档性,数据复杂性和程序复杂性,A,3,a
线性表的定义,具有线性结构的数据结构是 ()。,图,树,广义表,栈,D,3,a
算法的基本概念,计算机中的算法指的是解决某一个问题的有限运算序列，它必须具备输入、输出、() 等 5 个特性。,可执行性、可移植性和可扩充性,可执行性、有穷性和确定性,确定性、有穷性和稳定性,易读性、稳定性和确定性,B,3,a
算法效率的度量, 下面程序段的时间复杂度是 ()。for (i=0;i<m;i++) for (j=0;j<n;j++) a [i][j]=ij;,O(m²),O(n),O(mn),O (m+n),C,4,b
算法的基本概念,算法是 ()。,计算机程序,解决问题的计算方法,排序算法,解决问题的有限运算序列,D,3,a
算法效率的度量,"某算法的语句执行频度为 (3n²+nlog₂n+n+8), 其时间复杂度表示 ()。",O (n),O (nlog₂n),O (n²),O (log₂n),C,4,b
算法效率的度量, 下面程序段的时间复杂度为 ()。i=1;while (i<=n) i=i3;,O (n),O (3n),O (log₃n),O (n³),C,4,b
数据结构基本概念和术语,数据结构是一门研究非数值计算的程序设计问题中计算机的数据元素以及它们之间的 () 和运算等的学科。,结构,关系,运算,算法,B,3,a
算法效率的度量,下面程序段的时间复杂度是 ()。while (s<n){ i=g=0; i++; s+=i; },O (n),O (n²),O (log₂n),O (n³),A,4,b
数据结构基本概念和术语,抽象数据类型的三个组成部分分别为 ()。,数据对象、数据关系和基本操作,数据元素、逻辑结构和存储结构,数据项、数据元素和数据类型,数据元素、数据结构和数据类型,A,3,a
算法的基本概念,通常从正确性、易读性、健壮性、高效性等 4 个方面评价算法的质量，以下解释错误的是 ()。,正确性算法应能正确地实现预定的功能,易读性算法应易于阅读和理解，以便调试、修改和扩充,健壮性当环境发生变化时，算法能适当地做出反应或进行处理，不会产生不需要的运行结果,高效性即达到所需要的时间性能,D,4,b
算法效率的度量, 下列程序段的时间复杂度为 ()。x=n;y=0; while (x>=(y+1)(y+1)) y=y+1;,O(n),O(√n),O(1),O(n²),B,5,c
数据结构基本概念和术语,数据结构是一门研究非数值计算的程序设计问题中的操作对象以及它们之间的（）和运算的学科。,结构,关系,运算,算法,B,5,a
数据结构基本概念和术语,在数据结构中，从逻辑上可以把数据结构分成（）。,动态结构和静态结构,紧凑结构和非紧凑结构,线性结构和非线性结构,逻辑结构和存储结构,C,4,a
线性表的定义，顺序表和链表的比较,线性表的逻辑顺序和存储顺序总是一致的，这种说法（）。,正确,不正确,无法确定,以上答案都不对,B,5,b
算法的基本概念，算法效率的度量,算法分析的目的是（）。,找出算法的合理性,研究算法的输人与输出关系,分析算法的有效性以求改进,分析算法的易懂性,C,3,a
算法效率的度量,算法的时间复杂度取决于（ ）,问题的规模,待处理数据的初态,A 和 B,,C,4,a
算法的基本概念,一个算法应该是（ ）。,程序,问题求解步骤的描述,要满足五个基本特性,A 和 C,B,4,b
算法的基本概念,下面关于算法说法错误的是（ ）,算法最终必须由计算机程序实现,为解决某问题的算法与为该问题编写的程序含义是相同的,算法的可行性是指指令不能有二义性,以上几个都是错误的,D,5,b
数据结构三要素,以下与数据的存储结构无关的术语是（ ）。,循环队列,链表,哈希表,栈,D,3,a
算法效率的度量,"在下面的程序段中，对 x 的赋值语句的频度为（ ）
for（i=0;i<n;i++）
 for (j=0;j<n;j++) 
 x=x+1;",2n,n,n²,log2n,C,2,a
数据结构基本概念和术语,以下数据结构中，（ ）是非线性数据结构,树,字符串,队列,栈,A,1,a
数据结构基本概念和术语,下列数据中，（ ）是线性数据结构。,哈夫曼树,有向无环图,二叉排序树,栈,D,1,a
数据结构三要素,以下属于逻辑结构的是（ ）。,顺序表,哈希表,有序表,单链表,C,3,b
线性表的基本操作，顺序表的定义,若长度为 n 的线性表采用顺序存储结构，在其第 i 个位置插入一个新元素算法的时间复杂度 ()。,O (log₂n),O (1),O (n),O (n²),C,4,b
线性表的基本操作，顺序表和链表的比较,若一个线性表中最常用的操作是取第 i 个元素和找第 i 个元素的前趋元素，则采用 () 存储方式最节省时间。,顺序表,单链表,双链表,单循环链表,A,4,b
线性表的定义,具有线性结构的数据结构是 ()。,图,树,广义表,栈,D,3,a
